playerID,index,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,StolenBasesAllowed_Batting,CaughtStealing,Walks,Strikeouts,IntentionalWalks,HitsByPitch,SacrificeHits,SacrificeFlies,GroundedIntoDoublePlay,yearID,Putouts,Assists,Errors,DoublePlays,PassedBalls,StolenBasesAllowed_Fielding,CompleteGames,Shutouts,Saves,OutsPitched,Hits_Pitching,EarnedRuns,HomeRuns_Pitching,Walks_Pitching,Strikeouts_Pitching,EarnedRunAverage,IntentionalWalks_Pitching,HitsByPitch_Pitching,Balks,GamesFinished,Runs_Pitching,SacrificeHits_Pitching,SacrificeFlies_Pitching,GroundedIntoDoublePlay_Pitching,BattingAverage,OnBasePercentage,SluggingPercentage,ZoneRating,Position_1B,Position_2B,Position_3B,Position_C,Position_OF,Position_P,Position_SS,OpponentsBattingAverage
aardsda01,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,2.787878787878788,0.7575757575757576,0.48484848484848486,0.18181818181818182,0.42424242424242425,1.0606060606060606,0.14242424242424243,0.09090909090909091,0.030303030303030304,0.0,0.2727272727272727,0.5151515151515151,0.0,0.030303030303030304,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.223
abadfe01,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3125,1.4375,0.6875,0.0625,0.4375,0.625,0.35,0.0625,0.0,0.0,0.25,0.75,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.307
abbotco01,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.75,1.75,0.75,1.5625,2.8125,0.328125,0.0,0.3125,0.0,0.4375,1.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.239
abramcj01,103,3.6136363636363638,0.38636363636363635,0.9318181818181818,0.1590909090909091,0.045454545454545456,0.0,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.022727272727272728,0.5227272727272727,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,2022,1.164835164835165,2.2637362637362637,0.16483516483516483,0.4065934065934066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578616352201258,0.27607361963190186,0.3270440251572327,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
abreual01,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.06060606060606061,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,3.515151515151515,1.0606060606060606,0.42424242424242425,0.15151515151515152,0.6666666666666666,1.1515151515151516,0.31606060606060604,0.0,0.09090909090909091,0.0,0.3333333333333333,0.45454545454545453,0.030303030303030304,0.06060606060606061,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.746
abreubr01,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.03636363636363636,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,3.290909090909091,0.8181818181818182,0.23636363636363636,0.03636363636363636,0.4727272727272727,1.6,0.035272727272727275,0.0,0.07272727272727272,0.0,0.32727272727272727,0.2909090909090909,0.0,0.01818181818181818,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.207
abreujo02,138,3.828025477707006,0.5414012738853503,1.1656050955414012,0.25477707006369427,0.0,0.09554140127388536,0.47770700636942676,0.0,0.0,0.39490445859872614,0.7006369426751592,0.012738853503184714,0.07643312101910828,0.0,0.025477707006369428,0.12101910828025478,2022,7.453125,0.3984375,0.0859375,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30449251247920134,0.3784977908689249,0.4459234608985025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acevedo01,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,2.9,0.7142857142857143,0.35714285714285715,0.12857142857142856,0.24285714285714285,0.8285714285714286,0.04757142857142857,0.05714285714285714,0.04285714285714286,0.014285714285714285,0.17142857142857143,0.37142857142857144,0.02857142857142857,0.014285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.206
achteaj01,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.07407407407407407,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185185185185185,1.5925925925925926,0.48148148148148145,0.25925925925925924,0.4444444444444444,0.5185185185185185,0.11518518518518518,0.037037037037037035,0.037037037037037035,0.0,0.6296296296296297,0.48148148148148145,0.0,0.037037037037037035,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.295
ackledu01,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,3.869565217391304,0.34782608695652173,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
